[69.7-73.1] 耍把万豪
[73.1-74.2] 刚开门啊
[74.2-75.7] 下午好下午好
[75.7-100.1] 啊
[100.1-102.4] IGNIP怎么看
[102.4-103.6] 抢一了呀
[103.6-106.2] 涅槃组第一
[106.2-108.3] 哼
[108.3-109.6] 谁赢
[109.6-127.7] 谁大概率就第一了呀
[127.7-128.8] 哦呦
[128.8-130.7] 我给他们带了一份礼物
[130.7-165.8] 这个讲道理没道理不拿吧
[165.8-168.3] 今天两边第一场
[170.2-191.6] 只希望打快点啊
[191.6-209.7] 下次一路主号吧
[209.7-241.4] 这没捏到吗
[241.4-244.8] 小CK打假赛谁打假赛啊
[244.8-246.6] 我没刷到啊
[246.6-284.9] 我收到过很多乐评
[284.9-287.8] 品味太差是他的问题
[287.8-289.4] 米勒都钻二了
[289.4-291.4] 世界太疯狂
[291.4-293.3] 我说了这
[293.3-295.3] 咳
[295.3-297.6] 上分不难的呀
[297.6-308.6] 当然是大英雄
[308.6-310.8] 完全是粉色出演
[310.8-324.1] 有金波
[324.1-360.2] 比赛
[360.2-366.4] 比赛里这一失误就假赛
[366.4-367.0] 那太多
[367.0-367.7] 那假赛
[367.7-368.9] 不可能吧
[368.9-371.5] 这假赛看证据的呀
[371.5-377.8] 食物都太正常了呀
[377.8-397.9] 哦呦
[397.9-398.9] 新界屈起
[400.2-400.7] 哦呦
[400.7-401.7] 巨下的勇气
[426.1-428.1] 坎哥那边好像都不能赔玩什么的
[428.1-429.7] 带练都不行了
[429.7-430.2] 带练都不行了
[430.2-430.7] 带练都不行了
[430.7-432.5] 带练都不行了
[432.5-476.4] 哇
[477.0-513.7] 玩笑有点爍吧
[513.7-551.0] 瞎不好
[551.0-551.4] 瞎不好
[551.4-551.8] 瞎不好
[551.8-559.1] 和是不是少飞升漆呀
[559.1-561.0] 勺哥莉亚
[561.0-561.7] 勺哥莉亚
[561.7-635.1] 勺哥莉亚
[635.1-636.0] 发转物丽
[636.0-636.5] 和早劉坪
[636.5-637.1] 粗就近了
[637.1-646.4] 我现在这一拳都还好不算什么
[648.2-649.2] 有梗吗
[657.7-660.3] 我第三件来个青龙刀吧,cd有点久
[678.0-678.8] 无闹
[698.6-700.7] 狂徒不回了
[701.0-702.5] 别这个也行
[704.9-706.2] 青龙刀后面做吧
[710.1-710.8] 长一会
[737.7-738.7] 被他遛了
[744.9-745.6] 不活了
[760.0-809.4] 不是我
[844.5-845.0] 哎哟
[848.3-850.6] 我接下来可以叠这个坦克引擎了
[850.9-864.5] 不是峡谷吗
[866.6-867.4] 有点道理
[872.4-875.0] 但我接下来应该死不掉了,我应该不回了
[875.2-876.2] 回的时候再输吧
