priority_tier,analysis_score,num,start_bjt,format,league,teams,event_slug,market_count,game_markets,recommended_action,rationale
S 核心策略池,90,139,2026-06-28 11:10,BO5,Mid-Season Invitational Play-In,T1 vs Team Liquid,lol-t1-tl2-2026-06-28,5,4,优先做深度模型：赛前胜率、地图/小局路径、series 与 game 市场联动。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
S 核心策略池,90,140,2026-06-28 14:00,BO5,Mid-Season Invitational Play-In,Karmine Corp vs Deep Cross Gaming,lol-kc-dcg-2026-06-27,5,4,优先做深度模型：赛前胜率、地图/小局路径、series 与 game 市场联动。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
S 核心策略池,90,141,2026-06-29 11:00,BO5,Mid-Season Invitational Play-In,T1 vs Karmine Corp,lol-t1-kc-2026-06-28,5,4,优先做深度模型：赛前胜率、地图/小局路径、series 与 game 市场联动。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
S 核心策略池,90,142,2026-06-29 13:45,BO5,Mid-Season Invitational Play-In,Deep Cross Gaming vs Team Liquid,lol-dcg-tl2-2026-06-29,5,4,优先做深度模型：赛前胜率、地图/小局路径、series 与 game 市场联动。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
S 核心策略池,90,143,2026-06-30 16:00,BO5,Mid-Season Invitational Play-In,Karmine Corp vs Team Liquid,lol-kc-tl2-2026-06-30,5,4,优先做深度模型：赛前胜率、地图/小局路径、series 与 game 市场联动。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
S 核心策略池,82,27,2026-06-06 16:00,BO5,LCK Road to MSI,Dplus KIA vs HANJIN BRION,lol-dk-bro2-2026-06-06,5,4,优先做深度模型：赛前胜率、地图/小局路径、series 与 game 市场联动。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
S 核心策略池,82,34,2026-06-07 16:00,BO5,LCK Road to MSI,KT Rolster vs Dplus KIA,lol-kt-dk-2026-06-07,5,4,优先做深度模型：赛前胜率、地图/小局路径、series 与 game 市场联动。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
S 核心策略池,82,102,2026-06-12 16:15,BO5,LCK Road to MSI,Hanwha Life Esports vs T1,lol-hle1-t1-2026-06-12,5,4,优先做深度模型：赛前胜率、地图/小局路径、series 与 game 市场联动。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
S 核心策略池,82,107,2026-06-13 14:15,BO5,LCK Road to MSI,Gen.G vs KT Rolster,lol-gen-kt-2026-06-13,5,4,优先做深度模型：赛前胜率、地图/小局路径、series 与 game 市场联动。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
S 核心策略池,82,115,2026-06-14 14:00,BO5,LCK Road to MSI,T1 vs Gen.G,lol-t1-gen-2026-06-14,5,4,优先做深度模型：赛前胜率、地图/小局路径、series 与 game 市场联动。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
A 重点研究池,75,2,2026-06-01 17:00,BO5,LPL Playoffs,Anyone's Legend vs Team WE,lol-al-we-2026-06-01,5,4,适合做盘口/概率校准，优先看 series，必要时拆 Game 1。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
A 重点研究池,75,7,2026-06-02 17:00,BO5,LPL Playoffs,ThunderTalk Gaming vs LGD Gaming,lol-tt-lgd-2026-06-02,5,4,适合做盘口/概率校准，优先看 series，必要时拆 Game 1。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
A 重点研究池,75,12,2026-06-03 17:00,BO5,LPL Playoffs,EDward Gaming vs Bilibili Gaming,lol-edg-blg-2026-06-03,5,4,适合做盘口/概率校准，优先看 series，必要时拆 Game 1。,BO5 样本更稳定且有 series+小局联动；赛事关注度/信息可得性较好；双方队伍可研究性较强
